[Strings]
nth  paddr      vaddr      len size section type    string
84   0x00050a47 0x08098a47 15  16   .rodata ascii   LD_AOUT_PRELOAD
85   0x00050a58 0x08098a58 8   9    .rodata ascii   /var/tmp
86   0x00050a61 0x08098a61 12  13   .rodata ascii   /var/profile
87   0x00050a6e 0x08098a6e 7   8    .rodata ascii   LD_WARN
88   0x00050a76 0x08098a76 15  16   .rodata ascii   LD_LIBRARY_PATH
89   0x00050a86 0x08098a86 11  12   .rodata ascii   LD_BIND_NOW
90   0x00050a92 0x08098a92 11  12   .rodata ascii   LD_BIND_NOT
91   0x00050a9e 0x08098a9e 15  16   .rodata ascii   LD_DYNAMIC_WEAK
92   0x00050aae 0x08098aae 17  18   .rodata ascii   LD_PROFILE_OUTPUT
93   0x00050ac0 0x08098ac0 15  16   .rodata ascii   /etc/suid-debug
94   0x00050ad0 0x08098ad0 16  17   .rodata ascii   LD_ASSUME_KERNEL
95   0x00050ae1 0x08098ae1 13  14   .rodata ascii   MALLOC_CHECK_
96   0x00050bd4 0x08098bd4 4   5    .rodata ascii   {fG5
97   0x00050cc0 0x08098cc0 36  37   .rodata ascii   0123456789abcdefghijklmnopqrstuvwxyz
98   0x00050d00 0x08098d00 36  37   .rodata ascii   0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ
99   0x00050d40 0x08098d40 6   7    .rodata ascii   (null)
100  0x00050db4 0x08098db4 14  15   .rodata ascii   outdigit_value
101  0x00050dc3 0x08098dc3 16  17   .rodata ascii   outdigitwc_value
102  0x00050dd4 0x08098dd4 12  13   .rodata ascii   _IO_vfprintf
103  0x00050e44 0x08098e44 9   40   .rodata utf32le \b\b\b\b\b\b\b\b\b
104  0x000512f7 0x080992f7 12  13   .rodata ascii   \bto_outpunct
105  0x00051304 0x08099304 16  17   .rodata ascii   0 <= n && n <= 9
106  0x00051315 0x08099315 21  22   .rodata ascii   ../locale/outdigits.h
107  0x0005132b 0x0809932b 5   6    .rodata ascii   (nil)
108  0x00051331 0x08099331 14  15   .rodata ascii   s->_flags2 & 4
109  0x00051340 0x08099340 10  11   .rodata ascii   vfprintf.c
110  0x0005134b 0x0809934b 26  27   .rodata ascii   ((&mbstate)->__count == 0)
111  0x00051368 0x08099368 40  41   .rodata ascii   *** %n in writable segment detected ***\n
112  0x00051394 0x08099394 33  34   .rodata ascii   *** invalid %N$ use detected ***\n
113  0x000513b6 0x080993b6 14  15   .rodata ascii   outdigit_value
114  0x000513c5 0x080993c5 16  17   .rodata ascii   outdigitwc_value
115  0x000513e4 0x080993e4 4   20   .rodata utf32le fNAN
116  0x00051428 0x08099428 14  15   .rodata ascii   __printf_fphex
117  0x00051438 0x08099438 38  39   .rodata ascii   *decimal != '\0' && decimalwc != L'\0'
118  0x00051460 0x08099460 33  34   .rodata ascii   ../sysdeps/generic/printf_fphex.c
119  0x000516c7 0x080996c7 33  34   .rodata ascii   \b0000000000000000                
120  0x00051700 0x08099700 32  132  .rodata utf32le 0000000000000000                
121  0x00051784 0x08099784 5   6    .rodata ascii   fwide
122  0x0005178a 0x0809978a 21  22   .rodata ascii   fcts.towc_nsteps == 1
123  0x000517a0 0x080997a0 9   10   .rodata ascii   iofwide.c
124  0x000517aa 0x080997aa 21  22   .rodata ascii   fcts.tomb_nsteps == 1
125  0x00051933 0x08099933 19  20   .rodata ascii   \b_IO_new_file_fopen
126  0x00051947 0x08099947 5   6    .rodata ascii   ,ccs=
127  0x000519b3 0x080999b3 15  16   .rodata ascii   \bUnknown error 
128  0x000519c3 0x080999c3 9   10   .rodata ascii   __mbrtowc
129  0x000519cd 0x080999cd 9   10   .rodata ascii   mbrtowc.c
130  0x000519d8 0x080999d8 159 160  .rodata ascii   status == __GCONV_OK || status == __GCONV_EMPTY_INPUT || status == __GCONV_ILLEGAL_INPUT || status == __GCONV_INCOMPLETE_INPUT || status == __GCONV_FULL_OUTPUT
131  0x00051a78 0x08099a78 31  32   .rodata ascii   ((data.__statep)->__count == 0)
132  0x00051a98 0x08099a98 9   10   .rodata ascii   __wcrtomb
133  0x00051aa2 0x08099aa2 9   10   .rodata ascii   wcrtomb.c
134  0x00051aac 0x08099aac 11  12   .rodata ascii   __wcsrtombs
135  0x00051ab8 0x08099ab8 25  26   .rodata ascii   data.__outbuf[-1] == '\0'
136  0x00051ad2 0x08099ad2 11  12   .rodata ascii   wcsrtombs.c
137  0x00051ae0 0x08099ae0 38  39   .rodata ascii   data.__outbuf != (unsigned char *) dst
138  0x00051b07 0x08099b07 12  13   .rodata ascii   __mbsnrtowcs
139  0x00051b14 0x08099b14 10  11   .rodata ascii   result > 0
140  0x00051b1f 0x08099b1f 12  13   .rodata ascii   mbsnrtowcs.c
